Composition,Delta_H,Pressure,Temperature
Zr.9Ti.1Cr.55Fe1.45,1.03,2,10
ZrMn2Fe1.2,6.8,3,25
Ti.9Fe.9B.2,7.6,14,27
MgNi0.5Cu0.5,8,,
ZrMn1.53Fe1.27,9,4,23
Zr.7Ti.3MnFe,10,2,23
Zr.8Ti.2MnFe,11,1,23
ZrMn2Fe.8,12.7,0.7,23
ZrMn1.22Fe1.11,13,1,23
ZrMn1.11Fe1.22,13.3,5,100
Zr.7Ti.3Mn2Fe.8,14,2.6,25
CeNi5,14.2,50,25
ZrMn2.6Fe.2,15,0.12,100
Ti.9Zr.3Mn1.3Cu.05Mo.05V.2Cr.2,15.2,0.06,20
Ti.9Zr.15Mn1.6Cr.2V.2,15.4,7,25
ZrMn3.8,17,0.7,30
Pd.927Ir.073,17,0.6,25
ZrMnFe.7Co.3,17.6,4,30
ZrMn2.8,18.4,0.4,23
ZrMn2Ni.8,18.6,3,23
ZrCrFe1.8,19,6,23
Er6Fe23,19,2,0
ZrMn2Co.8,19.3,3.5,23
PrNi2.5Cu2.5,19.3,25,23
TiCrMn,19.6,190,40
TiCr1.8,19.7,20,-32
ZrCrFeCo.8,20,10,0
Ti1.2Cr1.9Mn.1,20.1,19.4,-10
TiCr1.8,20.2,40,-20
ZrMnFe,20.4,,
PrNi4.5Fe.5,20.5,6,23
Ce0.8La0.2Ni5,20.8,74,60
TiCrMn.85Fe.3V.15,20.9,6,20
ZrCrFeNi.8,21,8,0
ZrFe1.4Cr,21,1,23
Ce.8La.2Ni4.7Cu0.3,21,18,23
Pd.825Ni.1Rh.075,21.4,6.3,30
CeNi4.5Al.5,21.6,9,23
NdNi5,21.6,20,20
Ti.95Zr.05Cr1.2Mn.8,21.9,5.5,20
Zr.7Ti.3Cr.6Fe1.4,22,7,23
ZrMo2,22,0.4,-78
CeNi5,22.2,80,23
Ce.6La.4Ni5,22.3,28,25
YNi4.5Al.5,22.4,20,20
Ti0.9Zr.1MnCr.9V.1,22.5,24,30
Ce.5La.5Ni2.5Cu2.5,22.9,2.2,23
ZrFe1.5Cr,23,1.5,23
ZrMn2.8Fe.4,23,0.12,100
TiCr2,23,40,20
Ti.9Zr.2Mn1.6Ni.2(VFe).2,23.2,3.6,25
LaNi6.37Mn0.33,23.2,2,20
Ti.98Zr.02V.43Fe.09Cr.05Mn1.5,23.3,20,20
Ce.8La.2Ni5,23.8,30,23
ErNi3,23.8,1.2,-40
CePtAl,24,1.2,22
Pd.9Rh.1,24,1.03,25
HoNi4.5Al.5,24.1,22,0
ZrFe1.5Cr.5,24.3,5.5,50
YNi4.25Al.75,24.3,6,21
Ho6Fe23,24.3,0.3,0
TiMn2,24.6,20,0
CeNi4.25Mn.75,24.7,1.1,23
Pd.88Pt.06Rh.06,24.8,0.3,0
Ho.8Zr.2Co2,25,0.2,50
Ce0.7La0.7Ni5,25,11,20
Ti.8Zr.2Mn1.5Fe.5,25.4,11,30
CeNi4.5Mn.5,25.4,7,23
ErNi4.5Al.5,25.4,25,0
Pd.75Rh.25,25.4,5,0
Ti.9Zr.2Mn1.4Cr.4(VFe).2,25.5,3,25
Ti1.2CrMn,25.5,5.7,-10
Zr(Fe.75Cr.25)2,25.6,3,45
ZrFe1.5Cr.5,25.6,5,20
NdNi4.8Sn.2,25.7,6.5,20
(Y.5Ca.5)(MgCa)Ni9,25.8,2,-10
Pd.942Ir.058,25.9,0.35,25
Ti.9Zr.2Mn1.8V.2,26,3,25
EuNi5,26,1.3,25
LaNi5.5Mn0.1Al0.05,26,1.6,20
MgNi0.5Co0.5,26,,
NdNi5,26.3,13,23
NdNi4.6Sn.4,26.4,1.4,20
PrNi5,26.4,20,20
Mg1.75Ni,26.6,4.5,300
Mg1.75Ni,26.6,4.5,300
TiFe,26.7,11,51
Ti.9Zr.2Mn1.4Cr.4V.2,26.7,1.9,25
LaNi5.2Mn0.05Al0.05,26.8,1.3,20
TbNi4.5Al.5,26.9,10,20
Ti.8Zr.2Mn1.5Cu.5,27,3,30
Zr.5Ti.5CrFe,27,4,23
ZrMn2Cu.8,27,0.06,50
Zr.8Ti.2Cr.6Fe1.4,27,3,23
ZrCr.6Fe1.4,27,0.8,23
TiFe.9Mn.1,27.2,30,100
Pd.952Ti.048,27.2,2.3,100
